0	 zˈiəɹəʊ
Actaeon's	 ˈaktiːənz
Acton	 ˈaktən
Acton's	 ˈaktənz
Acts	 ˈakts
Acts's	 ˈaktsɪz
Acuff	 ɐkˈʌf
Acuff's	 ɐkˈʌfs
Ada	 ˈeɪdə
Adas	 ˈeɪdəz
Ada's	 ˈeɪdəz
Adam	 ˈadəm
Adams	 ˈadəmz
Adam's	 ˈadəmz
Adams	 ˈadəmz
Adams's	 ˈadəmzɪz
Adan	 ɐdˈan
Adan's	 ɐdˈanz
Adana	 ɐdˈɑːnə
Adana's	 ɐdˈɑːnəz
Adar	 ɐdˈɑː
Adar's	 ɐdˈɑːz
Addams	 ɐdˈamz
Addams's	 ɐdˈamzɪz
Adderley	 ˈadəlɪ
Adderley's	 ˈadəlɪz
Addie	 ɐdˈaɪ
Addie's	 ɐdˈaɪz
Addison	 ɐdˈɪsən
Addison's	 ɐdˈɪsənz
Adela	 ɐdˈɛlə
Adela's	 ɐdˈɛləz
Adelaide	 ˈadəlˌeɪd
Adelaide's	 ˈadəlˌeɪdz
Adele	 ɐdˈɛl
Adele's	 ɐdˈɛlz
Adeline	 ɐdˈɛlaɪn
Adeline's	 ɐdˈɛlaɪnz
Aden	 ˈeɪdən
Aden's	 ˈeɪdənz
Adenauer	 ˈadənˌɔːə
Adenauer's	 ˈadənˌɔːəz
Adhara	 ɐdhˈɑːɹə
Adhara's	 ɐdhˈɑːɹəz
Adidas	 ˈadɪdəz
Adidas's	 ˈadɪdəzɪz
Adirondack	 ˈadɪɹˌɒndak
Adirondacks	 ˈadɪɹˌɒndaks
Adirondack's	 ˈadɪɹˌɒndaks
Adirondacks	 ˈadɪɹˌɒndaks
Adirondacks's	 ˈadɪɹˌɒndaksɪz
Adkins	 ɐdkˈɪnz
Adkins's	 ɐdkˈɪnzɪz
Adler	 ɐdlˈɜː
Adler's	 ɐdlˈɜːz
Adm	 ˈadəm
Admiralty	 ˈadməɹəltɪ
Adolf	 ˈadɒlf
Adolf's	 ˈadɒlfs
Adolfo	 adˈɒlfəʊ
Adolfo's	 adˈɒlfəʊz
Adolph	 ˈadɒlf
Adolph's	 ˈadɒlfz
Adonis	 adˈəʊnɪz
Adonises	 ˈadənˌaɪzɪz
Adonis's	 adˈəʊnɪzɪz
Adrenalin	 ɐdɹˈɛnɐlˌɪn
Adrenalins	 ɐdɹˈɛnɐlˌɪnz
Adrenalin's	 ɐdɹˈɛnɐlˌɪnz
Adrian	 ˈeɪdɹiən
Adrian's	 ˈeɪdɹiənz
Adriana	 ˌadɹiːˈanə
Adriana's	 ˌadɹiːˈanəz
Adriatic	 ˌadɹɪˈatɪk
Adriatic's	 ˌadɹɪˈatɪkz
Adrienne	 ˌadɹɪˈɛn
Adrienne's	 ˌadɹɪˈɛnz
Advent	 ˈadvɛnt
Advents	 ˈadvɛnts
Advent's	 ˈadvɛnts
Adventist	 ˈadvɪntˌɪst
Adventists	 ˈadvɪntˌɪsts
Adventist's	 ˈadvɪntˌɪsts
Advil	 ɐdvəl
Advil's	 ɐdvəlz
Aegean	 iːdʒˈiən
Aegean's	 iːdʒˈiənz
Aelfric	 ˈeɪlfɹɪk
Aelfric's	 ˈeɪlfɹɪkz
Aeneas	 ˈiːniəz
Aeneas's	 ˈiːniəzɪz
Aeneid	 ˈiːneɪd
Aeneid's	 ˈiːneɪdz
Aeolus	 ˈiːɒləs
Aeolus's	 ˈiːələsɪz
Aeroflot	 ˈeəɹəʊflˌɒt
Aeroflot's	 ˈeəɹəʊflˌɒts
Aeschylus	 ˈiːstʃɪləs
Aeschylus's	 ˈiːstʃɪləsɪz
Aesculapius	 ˌiːskjʊlˈeɪpɪəs
Aesculapius's	 ˌiːskjʊlˈeɪpɪəsɪz
Aesop	 ˈiːsəp
Aesop's	 ˈiːsəps
Afghan	 ˈafɡan
Afghans	 ˈafɡanz
Afghan's	 ˈafɡanz
Afghani	 afɡˈɑːnɪ
Afghani's	 afɡˈɑːnɪz
Afghanistan	 afɡˈanɪstˌan
Afghanistan's	 afɡˈanɪstˌanz
Afr	 ˈafə
Africa	 ˈafɹɪkə
Africa's	 ˈafɹɪkəz
African	 ˈafɹɪkən
Africans	 ˈafɹɪkənz
African's	 ˈafɹɪkənz
Afrikaans	 ˈafɹɪkˌɑːnz
Afrikaans's	 ˈafɹɪkˌɑːnzɪz
Afrikaner	 ˈafɹɪkˌeɪnə
Afrikaners	 ˈafɹɪkˌeɪnəz
Afrikaner's	 ˈafɹɪkˌeɪnəz
Afro	 ˈafɹəʊ
Afros	 ˈafɹəʊz
Afro's	 ˈafɹəʊz
Afrocentric	 ˌafɹəʊsˈɛntɹɪk
Afrocentrism	 ˈafɹəʊsəntɹˌɪzəm
Afrocentrism's	 ˈafɹəʊsəntɹˌɪzəmz
Ag	 ˈaɡ
Ag's	 ˈaɡz
Agamemnon	 ˈaɡeɪmmnən
Agamemnon's	 ˈaɡeɪmmnənz
Agana	 aɡˈɑːnə
Agassi	 ˈaɡɐsˌɪ
Agassi's	 ˈaɡɐsˌɪz
Agassiz	 ˈaɡɐsˌɪz
Agassiz's	 ˈaɡɐsˌɪzɪz
Agatha	 ˈaɡɐθə
Agatha's	 ˈaɡɐθəz
Aggie	 ˈaɡɪ
Aggie's	 ˈaɡɪz
Aglaia	 ɐɡlˈeɪə
Aglaia's	 ɐɡlˈeɪəz
Agnes	 ˈaɡnəs
Agnes's	 ˈaɡnəsɪz
Agnew	 ˈaɡnjuː
Agnew's	 ˈaɡnjuːz
Agni	 ˈaɡnɪ
Agni's	 ˈaɡnɪz
Agra	 ˈaɡɹə
Agra's	 ˈaɡɹəz
Agricola	 ˌaɡɹɪkˈəʊlə
Agricola's	 ˌaɡɹɪkˈəʊləz
Agrippa	 ˈaɡɹɪpə
Agrippa's	 ˈaɡɹɪpəz
Agrippina	 ˈaɡɹɪpˌɪnə
Agrippina's	 ˈaɡɹɪpˌɪnəz
Aguascalientes	 ˈaɡjuːˌaskeɪlˌiənts
Aguilar	 ˈaɡwɪlə
Aguilar's	 ˈaɡwɪləz
Aguinaldo	 ˌaɡwɪnˈaldəʊ
Aguinaldo's	 ˌaɡwɪnˈaldəʊz
Aguirre	 ˈaɡwɜːɹə
Aguirre's	 ˈaɡwɜːɹəz
Agustin	 ˈaɡəstˌɪn
Agustin's	 ˈaɡəstˌɪnz
Ahab	 ˈeɪhab
Ahab's	 ˈeɪhabz
Ahmad	 ˈɑːmad
Ahmad's	 ˈɑːmadz
Ahmadabad	 ɑːmˈadɐbˌad
Ahmadabad's	 ɑːmˈadɐbˌadz
Ahmadinejad	 ˈɑːmɐdˌaɪndʒad
Ahmadinejad's	 ˈɑːmɐdˌaɪndʒadz
Ahmed	 ˈaxmɛd
Ahmed's	 ˈaxmɛdz
Ahriman	 ˈɑːɹɪmən
Ahriman's	 ˈɑːɹɪmənz
Aida	 ˈeɪdə
Aida's	 ˈeɪdəz
Aiken	 ˈeɪkən
Aiken's	 ˈeɪkənz
Aileen	 ˈeɪliːn
Aileen's	 ˈeɪliːnz
Aimee	 ˈeɪmiː
Aimee's	 ˈeɪmiːz
Ainu	 ˈeɪnuː
Ainu's	 ˈeɪnuːz
Airedale	 ˈeədeɪl
Airedales	 ˈeədeɪlz
Airedale's	 ˈeədeɪlz
Aires	 ˈaɪɹɪz
Aires's	 ˈaɪɹɪzɪz
Aisha	 ˈeɪʃə
Aisha's	 ˈeɪʃəz
Ajax	 ˈeɪdʒaks
Ajax's	 ˈeɪdʒaksɪz
Akbar	 ˈakbɑː
Akbar's	 ˈakbɑːz
Akhmatova	 ˌakhmɐtˈəʊvə
Akhmatova's	 ˌakhmɐtˈəʊvəz
Akihito	 ɐkɪhˈiːtəʊ
Akihito's	 ɐkɪhˈiːtəʊz
Akita	 ɐkˈiːtə
Akita's	 ɐkˈiːtəz
Akiva	 ɐkˈɪvə
Akiva's	 ɐkˈɪvəz
Akkad	 ˈakad
Akkad's	 ˈakadz
Akron	 ˈakɹɒn
Akron's	 ˈakɹɒnz
Al	 ˈal
Al's	 ˈalz
Ala	 ɐlˈa
Alas	 ɐlˈas
Alabama	 ˌaləbˈamə
Alabama's	 ˌaləbˈaməz
Alabaman	 ˌaləbˈamən
Alabamans	 ˌaləbˈamənz
Alabaman's	 ˌaləbˈamənz
Alabamian	 ˌaləbˈamiən
Alabamians	 ˌaləbˈamiənz
Alabamian's	 ˌaləbˈamiənz
Aladdin	 ɐlˈadɪn
Aladdin's	 ɐlˈadɪnz
Alamo	 ˈaləmˌəʊ
Alamo's	 ˈaləmˌəʊz
Alamogordo	 ɐlˌaməɡˈɔːdəʊ
Alamogordo's	 ɐlˌaməɡˈɔːdəʊz
Alan	 ˈalən
Alan's	 ˈalənz
Alana	 ɐlˈanə
Alana's	 ɐlˈanəz
Alar	 ɐlˈɑː
Alar's	 ɐlˈɑːz
Alaric	 ɐlˈaɹɪk
Alaric's	 ɐlˈaɹɪkz
Alaska	 ɐlˈaskə
Alaska's	 ɐlˈaskəz
Alaskan	 ɐlˈaskən
Alaskans	 ɐlˈaskənz
Alaskan's	 ɐlˈaskənz
Alba	 ˈalbə
Alba's	 ˈalbəz
Albania	 albˈeɪniə
Albania's	 albˈeɪniəz
Albanian	 albˈeɪniən
Albanians	 albˈeɪniənz
Albanian's	 albˈeɪniənz
Albany	 ˈalbənɪ
Albany's	 ˈalbənɪz
Albee	 ˈalbiː
Albee's	 ˈalbiːz
Alberio	 albˈiəɹɪˌəʊ
Alberio's	 albˈiəɹɪˌəʊz
Albert	 ˈalbət
Albert's	 ˈalbəts
Alberta	 albˈɜːtə
Alberta's	 albˈɜːtəz
Albertan	 albˈɜːtən
Alberto	 albˈɜːtəʊ
Alberto's	 albˈɜːtəʊz
Albigensian	 albˈɪdʒənsˌiən
Albigensian's	 albˈɪdʒənsˌiənz
Albion	 ˈalbɪən
Albion's	 ˈalbɪənz
Albireo	 ˈalbaɪəɹˌəʊ
Albireo's	 ˈalbaɪəɹˌəʊz
Albuquerque	 ˈalbəkˌɜːkɪ
Albuquerque's	 ˈalbəkˌɜːkɪz
Alcatraz	 ˈalkɐtɹˌaz
Alcatraz's	 ˈalkɐtɹˌazɪz
Alcestis	 ˈalsɪstˌɪz
Alcestis's	 ˈalsɪstˌɪzɪz
Alcibiades	 ˈalsɪbˌɪeɪdz
Alcibiades's	 ˈalsɪbˌɪeɪdzɪz
Alcindor	 ˈalsɪndə
Alcindor's	 ˈalsɪndəz
Alcmena	 alkmˈiːnə
Alcmena's	 alkmˈiːnəz
Alcoa	 alkˈəʊə
Alcoa's	 alkˈəʊəz
Alcott	 ˈalkɒt
Alcott's	 ˈalkɒts
Alcuin	 ˈalkjuːˌɪn
Alcuin's	 ˈalkjuːˌɪnz
Alcyone	 ˈalsɪˌəʊn
Alcyone's	 ˈalsɪˌəʊnz
Aldan	 ˈɔːldən
Aldan's	 ˈɔːldənz
Aldebaran	 ˈɔːldɪbˌaɹən
Aldebaran's	 ˈɔːldɪbˌaɹənz
Alden	 ˈɔːldən
Alden's	 ˈɔːldənz
Alderamin	 ˈɔːldəɹˌamɪn
Alderamin's	 ˈɔːldəɹˌamɪnz
Aldo	 ˈɔːldəʊ
Aldo's	 ˈɔːldəʊz
Aldrin	 ˈɔːldɹɪn
Aldrin's	 ˈɔːldɹɪnz
Alec	 ˈalɪk
Alec's	 ˈalɪkz
Aleichem	 ɐlˈaɪxəm
Aleichem's	 ɐlˈaɪxəmz
Alejandra	 ɐlˈɛdʒandɹə
Alejandra's	 ɐlˈɛdʒandɹəz
Alejandro	 ɐlɪdʒˈandɹəʊ
Alejandro's	 ɐlɪdʒˈandɹəʊz
Alembert	 ɐlˈɛmbət
Alembert's	 ɐlˈɛmbəts
Aleppo	 ɐlˈɛpəʊ
Aleppo's	 ɐlˈɛpəʊz
Aleut	 ɐljˈuːt
Aleuts	 ɐljˈuːts
Aleut's	 ɐljˈuːts
Aleutian	 ɐljˈuːʃən
Aleutians	 ɐljˈuːʃənz
Aleutian's	 ɐljˈuːʃənz
Alex	 ˈalɪks
Alex's	 ˈalɪksɪz
Alexander	 ˌalɪɡzˈandə
Alexanders	 ˌalɪɡzˈandəz
Alexander's	 ˌalɪɡzˈandəz
Alexandra	 ˌalɪɡzˈandɹə
Alexandra's	 ˌalɪɡzˈandɹəz
Alexandria	 ˌalɪɡzˈandɹiə
Alexandria's	 ˌalɪɡzˈandɹiəz
Alexandrian	 ˌalɪɡzˈandɹiən
Alexei	 ɐlˈɛkseɪ
Alexei's	 ɐlˈɛkseɪz
Alexis	 ɐlˈɛksɪs
Alexis's	 ɐlˈɛksɪsɪz
Alfonso	 ɐlfˈɒnsəʊ
Alfonso's	 ɐlfˈɒnsəʊz
Alfonzo	 ɐlfˈɒnzəʊ
Alfonzo's	 ɐlfˈɒnzəʊz
Alford	 ɐlfˈɔːd
Alford's	 ɐlfˈɔːdz
Alfred	 ˈalfɹɪd
Alfred's	 ˈalfɹɪdz
Alfreda	 ɐlfɹˈɛdə
Alfreda's	 ɐlfɹˈɛdəz
Alfredo	 ɐlfɹˈiːdəʊ
Alfredo's	 ɐlfɹˈiːdəʊz
Algenib	 ˈaldʒənˌɪb
Algenib's	 ˈaldʒənˌɪbz
Alger	 ˈaldʒə
Alger's	 ˈaldʒəz
Algeria	 aldʒˈiəɹɪə
Algeria's	 aldʒˈiəɹɪəz
Algerian	 aldʒˈiəɹɪən
Algerians	 aldʒˈiəɹɪənz
Algerian's	 aldʒˈiəɹɪənz
Algieba	 ˌaldʒɪˈɛbə
Algieba's	 ˌaldʒɪˈɛbəz
Algiers	 aldʒˈiəz
Algiers's	 aldʒˈiəzɪz
Algol	 ˈalɡɒl
Algol's	 ˈalɡɒlz
Algonquian	 alɡˈɒnkwiən
Algonquians	 alɡˈɒnkwiənz
Algonquian's	 alɡˈɒnkwiənz
Algonquin	 ˈalɡənkwˌɪn
Algonquins	 ˈalɡənkwˌɪnz
Algonquin's	 ˈalɡənkwˌɪnz
Alhambra	 ɐlhˈambɹə
Alhambra's	 ɐlhˈambɹəz
Alhena	 ɐlhˈiːnə
Alhena's	 ɐlhˈiːnəz
Ali	 ˈɑːlɪ
Ali's	 ˈɑːlɪz
Alice	 ˈalɪs
Alice's	 ˈalɪsˌɪz
Alicia	 ɐlˈiːʃə
Alicia's	 ɐlˈiːʃəz
Alighieri	 ɐlˈɪɡhiəɹˌɪ
Alighieri's	 ɐlˈɪɡhiəɹˌɪz
Aline	 ɐlˈaɪn
Aline's	 ɐlˈaɪnz
Alioth	 ˈalɪˌɒθ
Alioth's	 ˈalɪˌɒθz
Alisa	 ˈalɪsə
Alisa's	 ˈalɪsəz
Alisha	 alˈiːʃə
Alisha's	 alˈiːʃəz
Alison	 ˈalɪsən
Alison's	 ˈalɪsənz
Alissa	 alˈɪsə
Alissa's	 alˈɪsəz
Alistair	 ˈalɪstˌeə
Alistair's	 ˈalɪstˌeəz
Alkaid	 ˈalkeɪd
Alkaid's	 ˈalkeɪdz
Allah	 ˈalə
Allah's	 ˈaləz
Allahabad	 alˈahɐbˌad
Allahabad's	 alˈahɐbˌadz
Allan	 ˈalən
Allan's	 ˈalənz
Alleghenies	 ˈalɪɡhənɪz
Alleghenies's	 ˈalɪɡhənɪzɪz
Allegheny	 ˈalɪɡhənɪ
Alleghenies	 ˈalɪɡhənɪz
Allegheny's	 ˈalɪɡhənɪz
Allegra	 ɐlˈɛɡɹə
Allegra's	 ɐlˈɛɡɹəz
Allen	 ˈalən
Allen's	 ˈalənz
Allende	 ɐlˈɛnd
Allende's	 ɐlˈɛndz
Allentown	 ˈaləntˌaʊn
Allentown's	 ˈaləntˌaʊnz
Allhallows	 ɔːlhˈaləʊz
Allhallows's	 ɔːlhˈaləʊzɪz
Allie	 ˈalɪ
Allies	 ˈalaɪz
Allie's	 ˈalɪz
Allison	 ˈalɪsən
Allison's	 ˈalɪsənz
Allstate	 ɔːlstˈeɪt
Allstate's	 ɔːlstˈeɪtz
Allyson	 ˈalɪsən
Allyson's	 ˈalɪsənz
Alma	 ˈɒlmə
Alma's	 ˈɒlməz
Almach	 ˈɒlmatʃ
Almach's	 ˈɒlmatʃɪz
Almaty	 ˈɒlmatɪ
Almaty's	 ˈɒlmatɪz
Almighty	 ɒlmˈaɪtɪ
Almighty's	 ɒlmˈaɪtɪz
Almohad	 ˈɒlməʊhˌad
Almohad's	 ˈɒlməʊhˌadz
Almoravid	 ˈɒlmɔːɹˌavɪd
Almoravid's	 ˈɒlmɔːɹˌavɪdz
Alnilam	 ɐlnˈɪlam
Alnilam's	 ɐlnˈɪlamz
Alnitak	 ɐlnˈɪtak
Alnitak's	 ɐlnˈɪtaks
Alonzo	 ɐlˈɒnzəʊ
Alonzo's	 ɐlˈɒnzəʊz
Alpert	 ˈalpət
Alpert's	 ˈalpəts
Alphard	 ˈalfəɹəd
Alphard's	 ˈalfəɹədz
Alphecca	 ˈalfɛkə
Alphecca's	 ˈalfɛkəz
Alpheratz	 ˈalfəɹˌats
Alpheratz's	 ˈalfəɹˌatsɪz
Alphonse	 ˈalphɒns
Alphonse's	 ˈalphənsˌɪz
Alphonso	 alphˈɒnsəʊ
Alphonso's	 alphˈɒnsəʊz
Alpine	 ˈalpaɪn
Alpine's	 ˈalpaɪnz
Alpo	 ˈalpəʊ
Alpo's	 ˈalpəʊz
Alps	 ˈalps
Alps's	 ˈalpsɪz
Alsace	 ˈalseɪs
Alsace's	 ˈalseɪsɪz
Alsatian	 alsˈeɪʃən
Alsatians	 alsˈeɪʃənz
Alsatian's	 alsˈeɪʃənz
Alsop	 ˈɒlsəʊp
Alsop's	 ˈɒlsəʊps
Alston	 ˈalstən
Alston's	 ˈalstənz
Alta	 ˈɔːltə
Alta's	 ˈɔːltəz
Altai	 ˈɔːltaɪ
Altai's	 ˈɔːltaɪz
Altaic	 ɔːltˈeɪɪk
Altaic's	 ɔːltˈeɪɪkz
Altair	 ˈɔːlteə
Altair's	 ˈɔːlteəz
Altamira	 ˌɔːltɐmˈiəɹə
Altamira's	 ˌɔːltɐmˈiəɹəz
Althea	 ˈɔːlθiə
Althea's	 ˈɔːlθiəz
Altiplano	 ˌaltɪplˈɑːnəʊ
Altiplano's	 ˌaltɪplˈɑːnəʊz
Altman	 ˈɔːltmən
Altman's	 ˈɔːltmənz
Altoids	 ˈaltɔɪdz
Altoids's	 ˈaltɔɪdzɪz
Alton	 ˈaltən
Alton's	 ˈaltənz
Aludra	 ɐlˈʌdɹə
Aludra's	 ɐlˈʌdɹəz
Alva	 ˈalvə
Alva's	 ˈalvəz
Alvarado	 ˌalvɐɹˈɑːdəʊ
Alvarado's	 ˌalvɐɹˈɑːdəʊz
Alvarez	 ˈalveəz
Alvarez's	 ˈalveəzɪz
Alvaro	 alvˈaɹəʊ
Alvaro's	 alvˈaɹəʊz
Alvin	 ˈalvɪn
Alvin's	 ˈalvɪnz
Alyce	 ˈalaɪs
Alyce's	 ˈalaɪsɪz
Alyson	 ˈalɪsən
Alyson's	 ˈalɪsənz
Alyssa	 ɐlˈɪsə
Alyssa's	 ɐlˈɪsəz
Alzheimer	 ˈaltsaɪmə
Alzheimer's	 ˈaltsaɪməz
Am	 am
Amen	 ˌɑːmˈɛn
Amer	 ˈeɪmə
Am's	 amz
Amadeus	 ˈameɪdɪəs
Amadeus's	 ˈameɪdɪəsɪz
Amado	 amˈɑːdəʊ
Amado's	 amˈɑːdəʊz
Amalia	 ɐmˈeɪliə
Amalia's	 ɐmˈeɪliəz
Amanda	 ɐmˈandə
Amanda's	 ɐmˈandəz
Amarillo	 ˌaməɹˈɪləʊ
Amarillo's	 ˌaməɹˈɪləʊz
Amaru	 ˈamɑːɹˌuː
Amaru's	 ˈamɑːɹˌuːz
Amaterasu	 ˌamɐtəɹˈɑːsuː
Amaterasu's	 ˌamɐtəɹˈɑːsuːz
Amati	 amˈɑːtɪ
Amati's	 amˈɑːtɪz
Amazon	 ˈaməzən
Amazons	 ˈaməzənz
Amazon's	 ˈaməzənz
Amazonian	 ˌaməzˈəʊniən
Amber	 ˈambə
Amber's	 ˈambəz
Amelia	 ɐmˈiːliə
Amelia's	 ɐmˈiːliəz
Amen	 ˌɑːmˈɛn
Amen's	 ˌɑːmˈɛnz
Amenhotep	 ɐmˈɛnhəʊtəp
Amenhotep's	 ɐmˈɛnhəʊtəps
Amerasian	 ˌaməɹˈeɪziən
Amerasian's	 ˌaməɹˈeɪziənz
America	 ɐmˈɛɹɪkə
Americas	 ɐmˈɛɹɪkəz
America's	 ɐmˈɛɹɪkəz
American	 ɐmˈɛɹɪkən
Americans	 ɐmˈɛɹɪkənz
American's	 ɐmˈɛɹɪkənz
Americana	 ɐmˌɛɹɪkˈɑːnə
Americana's	 ɐmˌɛɹɪkˈɑːnəz
Americanisation	 ɐmˌɛɹɪkˌanaɪzˈeɪʃən
Americanisations	 ɐmˌɛɹɪkˌanaɪzˈeɪʃənz
Americanisation's	 ɐmˌɛɹɪkˌanaɪzˈeɪʃənz
Americanise	 ɐmˈɛɹɪkˌanaɪz
Americanising	 ɐmˈɛɹɪkˌanaɪzɪŋ
Americanised	 ɐmˈɛɹɪkˌanaɪzd
Americanises	 ɐmˈɛɹɪkˌanaɪzɪz
Americanism	 ɐmˈɛɹɪkənˌɪzəm
Americanisms	 ɐmˈɛɹɪkˌanɪzəmz
Americanism's	 ɐmˈɛɹɪkənˌɪzəmz
Amerind	 ˈaməɹˌɪnd
Amerinds	 ˈaməɹˌɪndz
Amerind's	 ˈaməɹˌɪndz
